bloque,ramo,mes,real,leg,mod
BRUTO,60,202612,0.0,0.0,0.0
BRUTO,71,202601,,,
BRUTO,71,202602,,,
BRUTO,71,202603,,,
BRUTO,71,202604,,,
BRUTO,71,202605,,,
BRUTO,71,202606,,,
BRUTO,71,202607,,,
BRUTO,71,202608,,,
BRUTO,71,202609,,,
BRUTO,71,202610,,,
BRUTO,71,202611,,,
BRUTO,71,202612,,,
BRUTO,73,202601,,,
BRUTO,73,202602,,,
BRUTO,73,202603,,,
BRUTO,73,202604,,,
BRUTO,73,202605,,,
BRUTO,73,202606,,,
BRUTO,73,202607,,,
BRUTO,73,202608,,,
BRUTO,73,202609,,,
BRUTO,73,202610,,,
BRUTO,73,202611,,,
BRUTO,73,202612,,,
BRUTO,80,202601,-2.0883799789276254e-13,0.0,0.0
BRUTO,80,202602,-2.1112006912172338e-13,0.0,0.0
BRUTO,80,202603,0.0011157476669979745,0.0,0.0
BRUTO,80,202604,-6.664185394928948e-12,0.0,0.0
BRUTO,80,202605,-3.35682383108906e-12,0.0,0.0
BRUTO,80,202606,2.0790113535321186e-13,0.0,0.0
BRUTO,80,202607,2.94051067793357e-12,0.0,0.0
BRUTO,80,202608,0.0,0.0,0.0
BRUTO,80,202609,0.0,0.0,0.0
BRUTO,80,202610,0.0,0.0,0.0
BRUTO,80,202611,0.0,0.0,0.0
BRUTO,80,202612,0.0,0.0,0.0
BRUTO,90,202601,19763217.505640037,21498261.68498808,21726848.506292675
BRUTO,90,202602,21627061.730637547,22173302.727958824,22453431.048993576
BRUTO,90,202603,23305623.15734274,24224181.201916575,24415444.76509762
BRUTO,90,202604,23395872.561366547,25105771.364389718,25426100.5035921
BRUTO,90,202605,23762232.27951396,25394032.342687245,25838093.69201848
BRUTO,90,202606,19995073.02469912,24498401.53450682,25229380.00341332
BRUTO,90,202607,22533236.129602153,26764987.096648052,27968969.47953839
BRUTO,90,202608,0.0,0.0,25608081.904144652
BRUTO,90,202609,0.0,0.0,0.0
BRUTO,90,202610,0.0,0.0,0.0
BRUTO,90,202611,0.0,0.0,0.0
BRUTO,90,202612,0.0,0.0,0.0
BRUTO,100,202601,181695.39956716666,137001.7223682984,137001.7223682984
BRUTO,100,202602,183272.4149537483,136658.2951199226,136658.2951199226
BRUTO,100,202603,181438.4402963426,140086.07169532366,140086.07169532366
BRUTO,100,202604,188903.85258289063,146632.83261019114,146632.83261019114
BRUTO,100,202605,202759.04291209395,148280.31017110893,148280.31017110893
BRUTO,100,202606,206784.98451304671,153693.5106584695,152552.63593155626
BRUTO,100,202607,204376.23363951803,149621.47492202543,148682.93591642025
BRUTO,100,202608,0.0,0.0,147654.46000801938
BRUTO,100,202609,0.0,0.0,0.0
BRUTO,100,202610,0.0,0.0,0.0
BRUTO,100,202611,0.0,0.0,0.0
BRUTO,100,202612,0.0,0.0,0.0
BRUTO,110,202601,37586073.28890189,43576611.25981573,43921719.914384246
BRUTO,110,202602,39029940.19951485,43375694.89811196,43694754.04811059
BRUTO,110,202603,38822227.32242876,43181501.71007716,43469425.96680741
BRUTO,110,202604,38469172.26770012,42729524.06346837,42961731.961535275
BRUTO,110,202605,38517523.236313514,43015271.851662405,43247853.40562285
BRUTO,110,202606,40593897.28321123,45842296.05636525,45117057.78215315
BRUTO,110,202607,42465447.48249206,47398888.16105127,46826567.604354344
BRUTO,110,202608,0.0,0.0,39520718.64925488
BRUTO,110,202609,0.0,0.0,0.0
BRUTO,110,202610,0.0,0.0,0.0
BRUTO,110,202611,0.0,0.0,0.0
BRUTO,110,202612,0.0,0.0,0.0
BEL,10,202601,32495673.90026464,34762576.27806429,34720142.22786274
BEL,10,202602,34563216.84037651,36615497.52566421,36887639.48187224
BEL,10,202603,36803447.04884743,38365768.62660813,38753705.06337334
BEL,10,202604,38252778.98825334,41309440.96039941,42492507.36782998
BEL,10,202605,40891677.2925185,44698977.60788054,46519643.3951349
BEL,10,202606,41986328.17825426,51235819.74268913,48340811.0520795
BEL,10,202607,44516006.76011939,54021232.73781474,52233165.33497474
BEL,10,202608,,0.0,62405549.17719327
BEL,10,202609,,0.0,0.0
BEL,10,202610,,0.0,0.0
BEL,10,202611,,0.0,0.0
BEL,10,202612,,0.0,0.0
BEL,30,202601,962340.2712958019,1097528.401603653,1034800.66984064
BEL,30,202602,1004306.7897723977,1115442.214633453,1048514.281825525
BEL,30,202603,874701.1854818914,924417.2115535274,864456.6741183784
BEL,30,202604,489268.2737222935,277278.4845346237,227321.3229767503
BEL,30,202605,695501.626864897,431684.5220196958,367906.8570558258
BEL,30,202606,425713.6696650018,337811.7406287883,263134.9311975196
BEL,30,202607,350356.28640874795,235824.186877992,177783.3866725295
BEL,30,202608,,0.0,2755060.750956269
BEL,30,202609,,0.0,0.0
BEL,30,202610,,0.0,0.0
BEL,30,202611,,0.0,0.0
BEL,30,202612,,0.0,0.0
BEL,34,202601,2055479.0638400468,3073189.182644422,2998052.158320502
BEL,34,202602,1950060.2148353625,2076768.978243012,2006580.686143889
BEL,34,202603,2942598.2454868006,5161424.892256848,5083444.224718245
BEL,34,202604,3201430.2018455756,5785329.483556583,5700399.831607281
BEL,34,202605,3335190.924504473,6115353.096204889,6026249.325725786
BEL,34,202606,3597240.327226178,6523434.067011008,6431443.352404266
BEL,34,202607,3233072.1229511513,7728229.130894028,7626155.886282256
BEL,34,202608,,0.0,3005542.59942439
BEL,34,202609,,0.0,0.0
BEL,34,202610,,0.0,0.0
BEL,34,202611,,0.0,0.0
BEL,34,202612,,0.0,0.0
BEL,37,202601,2049053.582356014,8037589.470402875,8147886.398102663
BEL,37,202602,2045695.1804222427,8435597.68586962,8547770.81711917
BEL,37,202603,1979992.964653114,8467357.376953369,8575274.12011618
BEL,37,202604,2011690.556878549,8995874.652329385,9106714.40236144
BEL,37,202605,1946729.8470020357,9422752.21391995,9526959.940669078
BEL,37,202606,1838421.3102762508,9609441.456250025,9566501.220465831
BEL,37,202607,1750850.2733723235,9962112.577787409,9942490.23962461
BEL,37,202608,,0.0,10470891.70228651
BEL,37,202609,,0.0,0.0
BEL,37,202610,,0.0,0.0
BEL,37,202611,,0.0,0.0
BEL,37,202612,,0.0,0.0
BEL,40,202601,12166108.556782106,11824197.0177226,12420188.68960662
BEL,40,202602,16418445.070741303,16196496.55210264,16853561.4531582
BEL,40,202603,17093712.43668132,16949616.06898123,17593219.56306796
BEL,40,202604,18512982.84827807,18850273.65070984,19488272.58063333
BEL,40,202605,17015886.324761678,18192160.29361949,18840156.55044753
BEL,40,202606,17045103.122535516,18664690.47208286,18917645.14212448
BEL,40,202607,16980007.646342237,20013466.22207531,20374064.16881455
BEL,40,202608,,0.0,19004611.01915447
BEL,40,202609,,0.0,0.0
BEL,40,202610,,0.0,0.0
BEL,40,202611,,0.0,0.0
BEL,40,202612,,0.0,0.0
BEL,50,202601,64871149.20006201,76396649.40328896,76000871.1060385
BEL,50,202602,66486890.83554823,73771709.26972176,73475586.89566562
BEL,50,202603,66566850.61031398,74726009.59137566,74482938.06299542
BEL,50,202604,66869456.97357574,75724565.19576684,75475328.64881653
BEL,50,202605,71635691.54214798,82259097.2728368,82021303.35701706
BEL,50,202606,74041263.15705256,86474535.6338897,84854506.49126841
BEL,50,202607,73839288.58648902,84678498.31829822,83377894.81004654
BEL,50,202608,,0.0,77127887.10177068
BEL,50,202609,,0.0,0.0
BEL,50,202610,,0.0,0.0
BEL,50,202611,,0.0,0.0
BEL,50,202612,,0.0,0.0
BEL,60,202601,94801695.49026698,120479116.274123,121224464.5954895
BEL,60,202602,102799782.84566906,125093717.411588,125745277.0068292
BEL,60,202603,102739913.14071809,123927421.2326804,124587916.5007064
BEL,60,202604,108931123.22483513,132223735.1976835,133116951.2675422
BEL,60,202605,119664603.73873277,142447857.8880713,143419554.7267641
BEL,60,202606,123162603.82830626,147914676.1130277,144535955.6369564
BEL,60,202607,129530842.48789023,154982940.5075508,152399478.8431618
