fecha,local,visitante,gl,gv,fase
2011-08-03,Pachuca,Cruz Azul,1,0,regular
2011-08-03,Atlas,Querétaro,3,0,regular
2011-08-03,Tigres,Toluca,2,2,regular
2011-08-03,Pumas,Monterrey,2,1,regular
2011-08-03,Atlante,Puebla,5,1,regular
2011-08-06,Cruz Azul,Atlante,2,1,regular
2011-08-06,Querétaro,Pachuca,2,1,regular
2011-08-06,Chivas,Pumas,0,0,regular
2011-08-06,Santos,Tijuana,1,3,regular
2011-08-06,Monterrey,Morelia,2,0,regular
2011-08-07,Puebla,Chiapas,1,2,regular
2011-08-07,Toluca,Atlas,0,0,regular
2011-08-07,Tecos,Tigres,0,1,regular
2011-08-12,Morelia,Chivas,1,2,regular
2011-08-13,San Luis,Monterrey,1,0,regular
2011-08-13,Chiapas,Cruz Azul,1,1,regular
2011-08-13,Tigres,América,2,2,regular
2011-08-13,Pachuca,Toluca,3,0,regular
2011-08-13,Atlas,Tecos,0,2,regular
2011-08-13,Atlante,Querétaro,1,3,regular
2011-08-14,Pumas,Santos,1,1,regular
2011-08-14,Tijuana,Puebla,1,1,regular
2011-08-19,Tecos,Pachuca,2,1,regular
2011-08-20,Cruz Azul,Tijuana,2,1,regular
2011-08-20,Querétaro,Chiapas,1,2,regular
2011-08-20,Chivas,Monterrey,2,1,regular
2011-08-20,Tigres,San Luis,1,0,regular
2011-08-21,Puebla,Pumas,2,1,regular
2011-08-21,Toluca,Atlante,2,1,regular
2011-08-21,América,Atlas,5,2,regular
2011-08-26,Chiapas,Toluca,1,1,regular
2011-08-27,Monterrey,Santos,2,0,regular
2011-08-27,Pachuca,América,2,0,regular
2011-08-27,Atlas,Tigres,0,1,regular
2011-08-27,San Luis,Chivas,2,0,regular
2011-08-27,Atlante,Tecos,2,1,regular
2011-08-28,Pumas,Cruz Azul,1,2,regular
2011-08-28,Tijuana,Querétaro,1,1,regular
2011-08-28,Morelia,Puebla,0,0,regular
2011-09-02,Tijuana,Chivas,0,1,regular
2011-09-02,Chiapas,Santos,3,2,regular
2011-09-04,San Luis,Morelia,2,3,regular
2011-09-09,Tecos,Chiapas,0,2,regular
2011-09-10,Cruz Azul,Morelia,0,1,regular
2011-09-10,Querétaro,Pumas,4,0,regular
2011-09-10,Santos,Chivas,1,1,regular
2011-09-10,Tigres,Pachuca,5,0,regular
2011-09-10,Atlas,San Luis,1,1,regular
2011-09-11,Puebla,Monterrey,3,3,regular
2011-09-11,Toluca,Tijuana,1,1,regular
2011-09-11,América,Atlante,0,1,regular
2011-09-14,América,San Luis,2,2,regular
2011-09-17,Monterrey,Cruz Azul,1,2,regular
2011-09-17,Chiapas,América,5,3,regular
2011-09-17,Chivas,Puebla,1,4,regular
2011-09-17,Pachuca,Atlas,4,2,regular
2011-09-17,San Luis,Santos,0,1,regular
2011-09-17,Atlante,Tigres,1,0,regular
2011-09-18,Pumas,Toluca,4,1,regular
2011-09-18,Tijuana,Tecos,0,2,regular
2011-09-18,Morelia,Querétaro,4,2,regular
2011-09-24,Cruz Azul,Chivas,1,1,regular
2011-09-24,Querétaro,Monterrey,2,1,regular
2011-09-24,Tecos,Pumas,1,2,regular
2011-09-24,Tigres,Chiapas,1,1,regular
2011-09-24,Pachuca,San Luis,1,1,regular
2011-09-24,Atlas,Atlante,2,3,regular
2011-09-25,Puebla,Santos,1,2,regular
2011-09-25,Toluca,Morelia,2,1,regular
2011-09-25,América,Tijuana,1,1,regular
2011-09-30,Chiapas,Atlas,1,1,regular
2011-10-01,Pumas,América,1,0,regular
2011-10-01,Morelia,Tecos,0,2,regular
2011-10-01,Monterrey,Toluca,0,0,regular
2011-10-01,Santos,Cruz Azul,1,0,regular
2011-10-01,Chivas,Querétaro,0,1,regular
2011-10-01,San Luis,Puebla,2,1,regular
2011-10-01,Atlante,Pachuca,0,1,regular
2011-10-02,Tijuana,Tigres,1,1,regular
2011-10-07,Tecos,Monterrey,2,3,regular
2011-10-08,Cruz Azul,Puebla,2,0,regular
2011-10-08,Querétaro,Santos,1,3,regular
2011-10-08,Tigres,Pumas,4,1,regular
2011-10-08,Pachuca,Chiapas,1,0,regular
2011-10-08,Atlas,Tijuana,2,2,regular
2011-10-08,Atlante,San Luis,1,1,regular
2011-10-09,Toluca,Chivas,0,0,regular
2011-10-09,América,Morelia,1,1,regular
2011-10-14,Morelia,Tigres,2,0,regular
2011-10-15,Monterrey,América,0,3,regular
2011-10-15,Chiapas,Atlante,1,1,regular
2011-10-15,Santos,Toluca,3,2,regular
2011-10-15,Chivas,Tecos,5,2,regular
2011-10-15,Tijuana,Pachuca,3,2,regular
2011-10-15,San Luis,Cruz Azul,1,1,regular
2011-10-16,Puebla,Querétaro,1,0,regular
2011-10-16,Pumas,Atlas,1,4,regular
2011-10-22,Tecos,Santos,5,2,regular
2011-10-22,Querétaro,Cruz Azul,1,0,regular
2011-10-22,Chiapas,San Luis,3,1,regular
2011-10-22,Tigres,Monterrey,0,0,regular
2011-10-22,Pachuca,Pumas,0,0,regular
2011-10-22,Atlas,Morelia,1,1,regular
2011-10-22,Atlante,Tijuana,1,1,regular
2011-10-23,Toluca,Puebla,4,3,regular
2011-10-23,América,Chivas,1,3,regular
2011-10-25,Morelia,Pachuca,2,2,regular
2011-10-26,Cruz Azul,Toluca,0,0,regular
2011-10-26,Puebla,Tecos,2,1,regular
2011-10-26,Chivas,Tigres,1,0,regular
2011-10-26,Monterrey,Atlas,2,0,regular
2011-10-26,San Luis,Querétaro,2,1,regular
2011-10-26,Pumas,Atlante,1,0,regular
2011-10-26,Santos,América,1,1,regular
2011-10-26,Tijuana,Chiapas,2,0,regular
2011-10-29,Atlante,Morelia,4,4,regular
2011-10-29,Chiapas,Pumas,4,0,regular
2011-10-29,Tigres,Santos,2,1,regular
2011-10-29,Pachuca,Monterrey,4,0,regular
2011-10-29,Atlas,Chivas,1,1,regular
2011-10-30,Tecos,Cruz Azul,0,2,regular
2011-10-30,Toluca,Querétaro,0,1,regular
2011-10-30,Tijuana,San Luis,0,0,regular
2011-10-30,América,Puebla,2,3,regular
2011-11-01,Santos,Morelia,0,2,regular
2011-11-04,Morelia,Chiapas,1,0,regular
2011-11-05,Querétaro,Tecos,3,0,regular
2011-11-05,Monterrey,Atlante,3,2,regular
2011-11-05,Cruz Azul,América,3,1,regular
2011-11-05,Santos,Atlas,3,0,regular
2011-11-05,Chivas,Pachuca,2,2,regular
2011-11-05,San Luis,Toluca,5,1,regular
2011-11-06,Puebla,Tigres,0,1,regular
2011-11-06,Pumas,Tijuana,1,1,regular
2011-11-19,Querétaro,Chivas,2,1,liguilla
2011-11-19,Morelia,Cruz Azul,2,1,liguilla
2011-11-20,Chiapas,Santos,2,2,liguilla
2011-11-20,Pachuca,Tigres,0,1,liguilla
2011-11-26,Cruz Azul,Morelia,1,2,liguilla
2011-11-26,Chivas,Querétaro,0,0,liguilla
2011-11-27,Santos,Chiapas,2,1,liguilla
2011-11-27,Tigres,Pachuca,3,0,liguilla
2011-11-30,Morelia,Santos,2,1,liguilla
2011-12-01,Querétaro,Tigres,0,0,liguilla
2011-12-03,Santos,Morelia,3,2,liguilla
2011-12-04,Tigres,Querétaro,1,0,liguilla
2011-12-08,Santos,Tigres,0,1,liguilla
2011-12-11,Tigres,Santos,3,1,liguilla
2012-01-06,Morelia,Tijuana,1,1,regular
2012-01-07,Monterrey,Chiapas,2,1,regular
2012-01-07,Querétaro,América,0,2,regular
2012-01-07,Cruz Azul,Tigres,1,1,regular
2012-01-07,Santos,Pachuca,0,0,regular
2012-01-07,Chivas,Atlante,0,1,regular
2012-01-07,San Luis,Pumas,1,0,regular
2012-01-08,Toluca,Tecos,3,1,regular
2012-01-08,Puebla,Atlas,0,0,regular
2012-01-13,Tecos,San Luis,0,2,regular
2012-01-14,Chiapas,Chivas,3,1,regular
2012-01-14,Tigres,Querétaro,1,0,regular
2012-01-14,Pachuca,Puebla,3,1,regular
2012-01-14,Tijuana,Monterrey,1,0,regular
2012-01-14,Atlas,Cruz Azul,0,2,regular
2012-01-14,Atlante,Santos,1,2,regular
2012-01-15,Pumas,Morelia,3,0,regular
2012-01-15,América,Toluca,1,1,regular
2012-01-20,Tecos,América,1,1,regular
2012-01-20,Morelia,San Luis,2,0,regular
2012-01-21,Querétaro,Atlas,2,1,regular
2012-01-21,Cruz Azul,Pachuca,1,1,regular
2012-01-21,Monterrey,Pumas,1,1,regular
2012-01-21,Santos,Chiapas,1,0,regular
2012-01-21,Chivas,Tijuana,0,2,regular
2012-01-22,Toluca,Tigres,2,1,regular
2012-01-22,Puebla,Atlante,1,2,regular
2012-01-27,Morelia,Monterrey,0,0,regular
2012-01-28,Chiapas,Puebla,0,1,regular
2012-01-28,Tigres,Tecos,2,1,regular
2012-01-28,Pachuca,Querétaro,1,1,regular
2012-01-28,Atlas,Toluca,1,0,regular
2012-01-28,San Luis,América,1,3,regular
2012-01-28,Atlante,Cruz Azul,2,2,regular
2012-01-29,Pumas,Chivas,0,0,regular
2012-01-29,Tijuana,Santos,1,3,regular
2012-02-03,Tecos,Atlas,0,0,regular
2012-02-04,Querétaro,Atlante,2,3,regular
2012-02-04,Cruz Azul,Chiapas,2,0,regular
2012-02-04,Monterrey,San Luis,3,0,regular
2012-02-04,Chivas,Morelia,1,2,regular
2012-02-04,Santos,Pumas,2,1,regular
2012-02-05,Toluca,Pachuca,3,4,regular
2012-02-05,Puebla,Tijuana,1,1,regular
2012-02-05,América,Tigres,0,1,regular
2012-02-10,Morelia,Santos,3,1,regular
2012-02-11,Chiapas,Querétaro,3,0,regular
2012-02-11,Monterrey,Chivas,2,0,regular
2012-02-11,Pachuca,Tecos,2,0,regular
2012-02-11,San Luis,Tigres,0,2,regular
2012-02-11,Atlas,América,1,1,regular
2012-02-11,Atlante,Toluca,0,2,regular
2012-02-12,Pumas,Puebla,0,2,regular
2012-02-12,Tijuana,Cruz Azul,0,0,regular
2012-02-17,Tecos,Atlante,2,1,regular
2012-02-18,Cruz Azul,Pumas,1,1,regular
2012-02-18,Querétaro,Tijuana,0,2,regular
2012-02-18,Santos,Monterrey,1,1,regular
2012-02-18,Tigres,Atlas,0,0,regular
2012-02-18,Chivas,San Luis,0,0,regular
2012-02-19,Toluca,Chiapas,3,1,regular
2012-02-19,Puebla,Morelia,1,2,regular
2012-02-19,América,Pachuca,1,0,regular
2012-02-25,Chiapas,Tecos,1,0,regular
