Ramo,CohorteAAAAMM,Antiguedad,PrimaDevAcum
LN04002,202602,1,316063.2634395
LN04002,202602,2,2630532.2959075
LN04002,202602,3,5596235.0637457
LN04002,202602,4,35963330.4302896
LN04002,202602,5,42280400.419552095
LN04002,202603,0,163713.4
LN04002,202603,1,504857.6229804
LN04002,202603,2,4521807.7175535
LN04002,202603,3,11223168.539570302
LN04002,202603,4,15927577.289738301
LN04002,202604,0,482065.279
LN04002,202604,1,610700.1451437
LN04002,202604,2,4638558.1457353
LN04002,202604,3,20376323.3627689
LN04002,202605,1,145811.5912
LN04002,202605,2,4267766.939192
LN04002,202606,0,16070.2
LN04002,202607,0,5875559.605125001
LN04002,202608,0,51386772.8526362
LN04002,202609,0,47264872.833410144
LN04002,202610,0,66172557.03543084
LN04002,202611,0,29668915.36915164
LN04002,202612,0,30944412.040823426
LN04003,199301,396,0.0
LN04003,199301,398,0.0
LN04003,199301,401,0.0
LN04003,199301,402,0.0
LN04003,199501,376,174.688
LN04003,199501,377,348.089
LN04003,199801,340,795.0545199999999
LN04003,200001,314,0.0
LN04003,200001,317,0.0
LN04003,200001,318,0.0
LN04003,200007,310,356.1002985
LN04003,200007,311,654.8702215000001
LN04003,200010,304,0.0
LN04003,200101,301,4983.542208
LN04003,200101,304,5971.752224
LN04003,200301,282,0.0
LN04003,200501,252,0.0
LN04003,200501,254,0.0
LN04003,200501,256,174.688
LN04003,200501,258,174.688
LN04003,200507,247,376.099959
LN04003,200507,249,1399.9873830000001
LN04003,200507,250,1399.9873830000001
LN04003,200601,240,0.0
LN04003,200601,242,0.0
LN04003,200601,246,0.0
LN04003,200607,235,5194.848021
LN04003,200607,237,5916.695825
LN04003,200701,228,0.0
LN04003,200701,230,0.0
LN04003,200701,231,0.0
LN04003,200701,233,2191.6644678
LN04003,200701,234,4538.3467707
LN04003,200801,216,0.0
LN04003,200801,218,0.0
LN04003,200801,219,0.0
LN04003,200801,220,1222.816
LN04003,200801,221,1222.816
LN04003,200801,222,1222.816
LN04003,200807,211,483.059373
LN04003,200807,213,3565.297513
LN04003,200807,214,3565.297513
LN04003,200901,204,0.0
LN04003,200901,206,0.0
LN04003,200901,207,0.0
LN04003,200901,209,0.0
LN04003,200901,210,0.0
LN04003,200907,198,316.0249697
LN04003,200907,199,19774.178141300003
LN04003,200907,202,20058.8502268
LN04003,200907,203,35137.1628242
LN04003,200907,204,50305.681780900006
LN04003,201001,192,0.0
LN04003,201001,193,0.0
LN04003,201001,194,-255.99807
LN04003,201001,195,-255.99807
LN04003,201001,196,-22.614902
LN04003,201001,197,1836.946298
LN04003,201001,198,1836.946298
LN04003,201007,186,96328.5622743
LN04003,201007,187,101167.37132189999
LN04003,201007,189,105517.1422009
LN04003,201007,190,106289.2404233
LN04003,201007,191,110827.6219779
LN04003,201007,192,118019.30673129999
LN04003,201009,185,22.4530048
LN04003,201009,187,100.7892263
LN04003,201009,188,100.7892263
LN04003,201009,189,153.0264323
LN04003,201101,180,0.0
LN04003,201101,181,50.0
LN04003,201101,182,736.4459291000001
LN04003,201101,183,736.4459291000001
LN04003,201101,184,1362.1783451000001
LN04003,201101,185,-66905.8324429
LN04003,201101,186,-66905.8324429
LN04003,201106,176,0.0
LN04003,201106,180,0.0
LN04003,201107,174,2912.4685766000002
LN04003,201107,175,7191.9683737000005
LN04003,201107,177,7265.6552803
LN04003,201107,178,7265.6552803
LN04003,201107,179,7323.9180163
LN04003,201107,180,19255.2219218
LN04003,201108,174,103.6880181
LN04003,201108,176,320.7524416
LN04003,201108,177,320.7524416
LN04003,201108,178,447.34593359999997
LN04003,201201,169,1618.5
